"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.447465001E-1;4.147874451E-1;2.082319794E0;9.474697266E0;9.709685506E0
6.548035000E-1;2.796185303E-1;2.109413452E0;9.455088043E0;9.691568580E0
6.648605000E-1;1.543290710E-1;2.110012207E0;9.421557770E0;9.656175215E0
6.749175000E-1;6.915618896E-2;2.129322052E0;9.408085785E0;9.646288049E0
6.849745000E-1;8.457412720E-2;2.153721313E0;9.426647186E0;9.669919620E0
6.950315000E-1;1.935475159E-1;2.189047852E0;9.491013336E0;9.742110926E0
7.050884999E-1;3.065625000E-1;2.158810730E0;9.591304779E0;9.836034348E0
7.151454999E-1;2.788700867E-1;2.113604736E0;9.684710541E0;9.916587708E0
7.252024999E-1;1.401086426E-1;2.063758392E0;9.815837860E0;1.003142074E1
7.352594999E-1;4.625381470E-2;2.001637573E0;9.935439148E0;1.013516864E1
7.453164998E-1;2.395019531E-2;1.983674927E0;1.002270767E1;1.021715268E1
7.553735001E-1;4.745132446E-2;2.000140686E0;1.007629623E1;1.027300152E1
7.654305000E-1;9.969268799E-2;1.988764343E0;1.001956421E1;1.021551708E1
7.754875000E-1;1.570234680E-1;1.967358856E0;9.947114868E0;1.014101826E1
7.855445000E-1;2.158511353E-1;1.974843292E0;9.854158173E0;1.005241419E1
7.956015000E-1;3.351530457E-1;2.005529480E0;9.717043304E0;9.927507574E0
8.056584999E-1;4.025129700E-1;2.087558899E0;9.620194702E0;9.852312670E0
8.157154999E-1;3.679348755E-1;2.105072479E0;9.549391937E0;9.785580851E0
8.257724999E-1;3.079096985E-1;2.110910339E0;9.570947113E0;9.805803357E0
8.358294999E-1;2.535726929E-1;2.113754425E0;9.638606415E0;9.870916396E0
8.458864999E-1;2.227368164E-1;2.058668976E0;9.685758362E0;9.904627438E0
8.559435001E-1;2.722837830E-1;2.052831116E0;9.647587738E0;9.867330095E0
8.660015000E-1;3.767665100E-1;2.106719055E0;9.607022095E0;9.842514501E0
8.760585000E-1;4.058061218E-1;2.107018433E0;9.544152832E0;9.782385116E0
8.861155000E-1;3.189866638E-1;2.084415436E0;9.549841003E0;9.779877473E0
8.961725000E-1;1.815724182E-1;2.049088898E0;9.633067932E0;9.850265562E0
9.062292499E-1;1.437011719E-1;2.024989014E0;9.644144897E0;9.855493967E0
9.162862499E-1;2.811154175E-1;2.046244812E0;9.605076141E0;9.824644085E0
9.263432499E-1;4.595443726E-1;2.063758392E0;9.560917969E0;9.791906461E0
9.364002501E-1;5.635780334E-1;2.092199249E0;9.492510223E0;9.736666177E0
9.464572500E-1;5.319937134E-1;2.070943451E0;9.376202087E0;9.616911649E0
9.565142500E-1;4.351451111E-1;2.069147186E0;9.286538544E0;9.524207026E0
9.665712500E-1;2.933898926E-1;2.057920532E0;9.301357727E0;9.530811619E0
9.766282500E-1;1.654060364E-1;2.052681427E0;9.474248199E0;9.695475189E0
9.866852500E-1;4.879852295E-2;2.060614929E0;9.633966064E0;9.851995601E0
9.967422499E-1;5.553451538E-2;2.047741699E0;9.681118011E0;9.895472505E0
1.006799250E0;1.336720276E-1;2.050885162E0;9.716893616E0;9.931868893E0
1.016856250E0;2.381547546E-1;2.054627380E0;9.731862488E0;9.949239109E0
1.026913250E0;2.842588806E-1;2.004631348E0;9.680519257E0;9.889984986E0
1.036970250E0;2.535726929E-1;2.029779053E0;9.619296570E0;9.834387048E0
1.047027250E0;1.362167358E-1;2.062261505E0;9.596543884E0;9.816574353E0
1.057084250E0;9.415420532E-2;2.090253296E0;9.587861938E0;9.813517229E0
1.067141250E0;8.726852417E-2;2.098785553E0;9.564660187E0;9.792611556E0
1.077199250E0;1.305285645E-1;2.104922791E0;9.525741119E0;9.756407204E0
1.087256250E0;3.028202820E-1;2.171833649E0;9.507479095E0;9.757085644E0
1.097313250E0;4.079017639E-1;2.129920807E0;9.527836761E0;9.771520856E0
1.107370250E0;4.276606750E-1;2.064207458E0;9.563163300E0;9.792749276E0
1.117427250E0;2.562670898E-1;2.021246796E0;9.679321747E0;9.891429670E0
1.127484250E0;4.894821167E-2;1.965861969E0;9.785600739E0;9.981231939E0
1.137541250E0;-5.688171387E-2;1.900298309E0;9.856553192E0;1.003822743E1
1.147598250E0;-2.170486450E-2;1.918859711E0;9.875563660E0;1.006028088E1
1.157655250E0;1.338217163E-1;1.987267456E0;9.849966888E0;1.004932773E1
1.167712250E0;3.625460815E-1;2.069147186E0;9.776469727E0;9.999608495E0
1.177769250E0;5.516029358E-1;2.131717072E0;9.652976532E0;9.900931239E0
1.187826250E0;6.065386963E-1;2.179916840E0;9.455387421E0;9.722359687E0
1.197883250E0;4.710704041E-1;2.187251587E0;9.391470337E0;9.654309500E0
1.207940250E0;3.029699707E-1;2.142644348E0;9.426048431E0;9.671251451E0
1.217997250E0;1.701960754E-1;2.039359131E0;9.464069366E0;9.682797186E0
1.228054250E0;1.484912109E-1;2.011217651E0;9.517657928E0;9.728970065E0
1.238111250E0;2.505789185E-1;2.059267731E0;9.492210846E0;9.716246195E0
1.248168250E0;4.144880676E-1;2.157014465E0;9.507179718E0;9.757611283E0
1.258225250E0;5.376818848E-1;2.149530029E0;9.570198669E0;9.823353996E0
1.268282250E0;5.533992004E-1;2.123933258E0;9.564959564E0;9.813551581E0
1.278339250E0;4.074526978E-1;2.126927032E0;9.557175751E0;9.799461446E0
1.288396250E0;1.558259583E-1;2.092348938E0;9.569300537E0;9.796617711E0
1.298453250E0;-2.095642090E-3;2.039209442E0;9.632618866E0;9.846102059E0
1.308511250E0;3.143463135E-3;2.013912048E0;9.666598206E0;9.874156799E0
